                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.6465,                 6.3686,                 4.7024,                   2.28,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 5.2499,                 8.4085,                  5.149,                 2.6772,                      0,                      0,                      0
                      2,                 4.6698,                 7.4123,                 4.8937,                 2.3714,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 5.1517,                 8.0634,                 5.0478,                 2.5798,             1.6505e-05,             1.6505e-05,             1.6505e-05
                      3,                 4.2311,                 7.1824,                 4.8296,                 2.1314,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.9823,                 7.3467,                 4.8481,                 2.3764,              3.268e-05,              3.268e-05,              3.268e-05
                      4,                 4.1326,                 6.0399,                 4.4128,                  1.778,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.7371,                 6.5334,                 4.6594,                 2.1639,             4.8525e-05,             4.8525e-05,             4.8525e-05
                      5,                  4.623,                 6.6362,                 4.6693,                 1.8218,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.4514,                 5.7002,                 4.4897,                 1.8866,             6.4039e-05,             6.4039e-05,             6.4039e-05
                      6,                 3.5599,                 5.5327,                 4.2061,                 1.4112,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.1578,                 4.9531,                 4.3204,                 1.6268,             7.9224e-05,             7.9224e-05,             7.9224e-05
                      7,                 3.3772,                 4.6438,                  3.928,                 1.2279,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.7559,                 4.7416,                 4.1797,                 1.3726,             9.4079e-05,             9.4079e-05,             9.4079e-05
                      8,                 3.3344,                 4.6507,                 3.7774,                 1.1562,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.3014,                 4.6302,                 4.0809,                 1.1885,              0.0001086,              0.0001086,              0.0001086
                      9,                 3.1134,                 4.3333,                 3.6264,                 1.0622,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.9699,                 4.5255,                 4.0232,                 1.0682,              0.0001228,              0.0001228,              0.0001228
                     10,                 3.3399,                 4.3969,                 3.4617,                 1.0381,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.8489,                 4.3987,                 3.9799,                0.99035,             0.00013666,             0.00013666,             0.00013666
                     11,                 3.2993,                 4.4737,                 3.2685,                 1.0239,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.8524,                 4.3569,                 3.9256,                 0.9474,              0.0001502,              0.0001502,              0.0001502
                     12,                 3.4842,                 4.6759,                 3.0492,                 1.0173,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.9347,                 4.3152,                 3.8521,                0.93886,              0.0001634,              0.0001634,              0.0001634
                     13,                  3.315,                  4.284,                 2.7436,                0.98875,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.9783,                 4.2698,                 3.8169,                0.94094,             0.00017628,             0.00017628,             0.00017628
                     14,                 3.1519,                 3.8826,                 2.4229,                0.98284,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.9361,                 4.2634,                 3.7622,                0.94142,             0.00018882,             0.00018882,             0.00018882
                     15,                 3.1081,                 4.4201,                 2.2225,                0.96289,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.8542,                 4.3062,                 3.7021,                0.93912,             0.00020103,             0.00020103,             0.00020103
                     16,                 2.8357,                 3.7811,                  1.909,                0.94653,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.7764,                 4.2282,                  3.621,                0.93115,             0.00021292,             0.00021292,             0.00021292
                     17,                  2.729,                 3.8169,                 1.6032,                0.92128,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.7097,                 4.1537,                 3.5187,                0.92436,             0.00022447,             0.00022447,             0.00022447
                     18,                 2.9542,                 4.2345,                 1.5663,                0.93369,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.7097,                 4.1537,                 3.5187,                0.92436,              0.0002357,              0.0002357,              0.0002357
                     19,                 2.7372,                 3.8528,                 1.5083,                0.91959,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  2.619,                 4.0793,                  3.379,                0.91102,             0.00024659,             0.00024659,             0.00024659
                     20,                  2.715,                 3.6866,                 1.4287,                 0.9232,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  2.619,                 4.0793,                  3.379,                0.91102,             0.00025715,             0.00025715,             0.00025715
                     21,                 2.5053,                  3.607,                  1.368,                 0.9044,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.5813,                 3.9962,                 3.2134,                0.91208,             0.00026739,             0.00026739,             0.00026739
                     22,                 2.6302,                 3.6729,                   1.33,                0.92843,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.5813,                 3.9962,                 3.2134,                0.91208,             0.00027729,             0.00027729,             0.00027729
                     23,                 2.5337,                 3.4493,                 1.2627,                0.92899,                0.03205,                0.03322,                0.01656,                 0.0082,                0.02564,                0.02658,                0.01316,                0.00556,                 2.6963,                 3.8824,                 3.0336,                0.93513,             0.00028686,             0.00028686,             0.00028686
