                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     27,                 2.8944,                 3.8626,                 1.3487,                0.91363,                0.17606,                0.24917,                0.24608,                0.09135,                0.14554,                0.20598,                0.16399,                0.05079,                 2.6206,                 3.7707,                 2.7557,                0.91146,             0.00032186,             0.00032186,             0.00032186
                     28,                 2.5711,                  3.499,                 1.2395,                0.92133,                0.17606,                0.24917,                0.24608,                0.09135,                0.14554,                0.20598,                0.16399,                0.05079,                 2.6206,                 3.7707,                 2.7557,                0.91146,             0.00032978,             0.00032978,             0.00032978
                     29,                 2.4346,                 3.3794,                 1.1996,                0.92059,                0.21677,                0.35216,                 0.3317,                0.12045,                0.21677,                0.35216,                 0.2858,                0.10128,                 2.6721,                 3.8339,                 2.6077,                0.92183,             0.00033737,             0.00033737,             0.00033737
                     30,                 2.3679,                 3.2495,                 1.2251,                0.90898,                0.21677,                0.35216,                 0.3317,                0.12045,                0.21677,                0.35216,                 0.2858,                0.10128,                 2.6721,                 3.8339,                 2.6077,                0.92183,             0.00034464,             0.00034464,             0.00034464
                     31,                 2.5863,                 3.5987,                  1.262,                0.91557,                0.24517,                0.42193,                0.38078,                0.13938,                0.24131,                0.41528,                 0.3421,                0.11474,                 2.5958,                 3.8644,                 2.4889,                0.91308,             0.00035157,             0.00035157,             0.00035157
                     32,                 2.7189,                 3.6669,                 1.2602,                0.91041,                0.24517,                0.42193,                0.38078,                0.13938,                0.24131,                0.41528,                 0.3421,                0.11474,                 2.5958,                 3.8644,                 2.4889,                0.91308,             0.00035817,             0.00035817,             0.00035817
                     33,                  2.496,                 3.2444,                 1.2308,                0.89668,                0.26527,                0.46179,                0.42927,                0.17053,                0.23855,                0.41528,                0.33244,                0.11045,                 2.4521,                 3.7732,                 2.4055,                0.89431,             0.00036445,             0.00036445,             0.00036445
                     34,                 2.2879,                 3.1385,                 1.1677,                0.89059,                0.26527,                0.46179,                0.42927,                0.17053,                0.23855,                0.41528,                0.33244,                0.11045,                 2.4521,                 3.7732,                 2.4055,                0.89431,             0.00037039,             0.00037039,             0.00037039
                     35,                 2.3159,                 3.1707,                 1.1622,                0.90039,                0.27099,                0.47176,                0.45892,                0.18604,                0.28244,                0.49169,                0.41042,                0.14865,                 2.4276,                 3.6964,                 2.3319,                0.89393,               0.000376,               0.000376,               0.000376
                     36,                 2.2651,                 3.0429,                  1.098,                0.90491,                0.27099,                0.47176,                0.45892,                0.18604,                0.28244,                0.49169,                0.41042,                0.14865,                 2.4276,                 3.6964,                 2.3319,                0.89393,             0.00038128,             0.00038128,             0.00038128
                     37,                 2.3739,                 3.2981,                 1.1422,                0.88816,                0.27788,                0.48837,                0.47622,                0.18944,                0.28922,                0.50831,                0.44097,                0.17809,                 2.4343,                 3.6238,                 2.2694,                0.88951,             0.00038624,             0.00038624,             0.00038624
                     38,                 2.6782,                 3.6246,                 1.1773,                0.90073,                0.27788,                0.48837,                0.47622,                0.18944,                0.28922,                0.50831,                0.44097,                0.17809,                 2.4343,                 3.6238,                 2.2694,                0.88951,             0.00039086,             0.00039086,             0.00039086
                     39,                 2.7318,                 3.7578,                 1.2377,                0.89984,                0.28626,                0.49834,                0.49085,                0.21333,                 0.2958,                0.51495,                0.44086,                0.15641,                 2.3215,                 3.4579,                 2.2503,                0.87478,             0.00039515,             0.00039515,             0.00039515
                     40,                 2.3971,                 3.2452,                 1.1065,                0.88394,                0.28626,                0.49834,                0.49085,                0.21333,                 0.2958,                0.51495,                0.44086,                0.15641,                 2.3215,                 3.4579,                 2.2503,                0.87478,             0.00039911,             0.00039911,             0.00039911
                     41,                 2.5902,                 3.6421,                 1.1614,                0.89229,                0.29515,                0.50498,                0.49287,                0.22697,                0.24854,                0.42525,                0.36408,                0.11458,                 2.2549,                 3.4553,                 2.2571,                0.86044,             0.00040275,             0.00040275,             0.00040275
                     42,                 2.7602,                 3.7756,                 1.1943,                0.88245,                0.29515,                0.50498,                0.49287,                0.22697,                0.24854,                0.42525,                0.36408,                0.11458,                 2.2549,                 3.4553,                 2.2571,                0.86044,             0.00040605,             0.00040605,             0.00040605
                     43,                 2.3932,                 3.1919,                 1.0858,                0.88589,                 0.3062,                0.52492,                0.51886,                0.23904,                0.25775,                0.44186,                0.38719,                 0.1192,                 2.2267,                 3.4046,                 2.2235,                0.85834,             0.00040902,             0.00040902,             0.00040902
                     44,                   2.41,                 3.5638,                 1.0925,                0.87528,                 0.3062,                0.52492,                0.51886,                0.23904,                0.25775,                0.44186,                0.38719,                 0.1192,                 2.2267,                 3.4046,                 2.2235,                0.85834,             0.00041166,             0.00041166,             0.00041166
                     45,                  2.485,                 3.5646,                  1.126,                0.87161,                0.29301,                0.51495,                0.51337,                0.24073,                0.26654,                0.46844,                0.40457,                0.14066,                 2.2346,                 3.3468,                 2.1515,                0.86216,             0.00041398,             0.00041398,             0.00041398
                     46,                  2.416,                 3.5436,                 1.1134,                0.87066,                0.29301,                0.51495,                0.51337,                0.24073,                0.26654,                0.46844,                0.40457,                0.14066,                 2.2346,                 3.3468,                 2.1515,                0.86216,             0.00041596,             0.00041596,             0.00041596
                     47,                 2.6032,                 3.7729,                 1.1403,                0.88349,                0.29104,                0.51827,                0.51541,                0.24783,                0.26493,                0.47176,                0.40545,                0.14922,                  2.212,                 3.3676,                 2.0841,                 0.8621,             0.00041761,             0.00041761,             0.00041761
                     48,                 2.6374,                 3.9411,                   1.18,                0.87996,                0.29104,                0.51827,                0.51541,                0.24783,                0.26493,                0.47176,                0.40545,                0.14922,                  2.212,                 3.3676,                 2.0841,                 0.8621,             0.00041893,             0.00041893,             0.00041893
                     49,                 2.2989,                 3.3781,                 1.0755,                0.86593,                0.29368,                0.52492,                0.51771,                0.24605,                0.27323,                0.48837,                  0.423,                  0.169,                 2.2383,                 3.2576,                  2.039,                0.86548,             0.00041992,             0.00041992,             0.00041992
                     50,                 2.1161,                 2.9384,                   1.02,                0.87413,                0.29368,                0.52492,                0.51771,                0.24605,                0.27323,                0.48837,                  0.423,                  0.169,                 2.2383,                 3.2576,                  2.039,                0.86548,             0.00042059,             0.00042059,             0.00042059
                     51,                 2.4323,                 3.5888,                 1.1096,                0.88404,                0.29499,                0.52824,                0.53347,                0.26255,                0.27829,                0.49834,                0.42218,                0.16833,                 2.1889,                 3.1996,                 2.0186,                0.85706,             0.00042092,             0.00042092,             0.00042092
                     52,                 2.5898,                  3.742,                 1.1233,                0.86348,                0.29499,                0.52824,                0.53347,                0.26255,                0.27829,                0.49834,                0.42218,                0.16833,                 2.1889,                 3.1996,                 2.0186,                0.85706,             0.00042092,             0.00042092,             0.00042092
                     53,                 2.4273,                 3.4329,                 1.0931,                0.87194,                0.29499,                0.52824,                0.53347,                0.26255,                0.27829,                0.49834,                0.42218,                0.16833,                 2.1889,                 3.1996,                 2.0186,                0.85706,             0.00042059,             0.00042059,             0.00042059
                     54,                 2.2314,                 3.1995,                 1.0458,                0.86365,                0.30403,                 0.5515,                0.55227,                0.26641,                0.27473,                0.49834,                0.43096,                0.16987,                 2.1665,                 3.1441,                 1.9426,                0.85403,             0.00041993,             0.00041993,             0.00041993
                     55,                 2.3504,                 3.3333,                 1.0814,                0.86111,                0.30403,                 0.5515,                0.55227,                0.26641,                0.27473,                0.49834,                0.43096,                0.16987,                 2.1665,                 3.1441,                 1.9426,                0.85403,             0.00041894,             0.00041894,             0.00041894
                     56,                 2.5819,                 3.8688,                 1.0998,                0.87874,                0.30403,                 0.5515,                0.55227,                0.26641,                0.27473,                0.49834,                0.43096,                0.16987,                 2.1665,                 3.1441,                 1.9426,                0.85403,             0.00041763,             0.00041763,             0.00041763
