                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9234,                 6.6736,                 4.8914,                 2.5915,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 5.2381,                 8.3837,                 5.1372,                 2.6628,                      0,                      0,                      0
                      2,                 4.7973,                 9.0036,                  5.236,                 2.4583,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 5.1735,                 8.1562,                 5.0708,                 2.5905,             1.6505e-05,             1.6505e-05,             1.6505e-05
                      3,                 4.4333,                 6.6428,                 4.6874,                 2.2098,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                   5.07,                 7.5721,                 4.9386,                 2.4444,              3.268e-05,              3.268e-05,              3.268e-05
                      4,                  4.238,                 6.7942,                 4.6591,                 1.8771,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.8211,                 6.8285,                 4.7856,                 2.2342,             4.8525e-05,             4.8525e-05,             4.8525e-05
                      5,                 3.9122,                 5.1216,                 4.2717,                  1.615,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.5687,                 5.9028,                 4.6099,                 2.0045,             6.4039e-05,             6.4039e-05,             6.4039e-05
                      6,                 3.4584,                 5.2394,                 4.1422,                 1.3526,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  4.327,                 5.2726,                 4.4233,                  1.758,             7.9224e-05,             7.9224e-05,             7.9224e-05
                      7,                 3.2379,                 4.6033,                 3.9565,                 1.2197,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.9861,                 4.8382,                 4.2576,                  1.487,             9.4079e-05,             9.4079e-05,             9.4079e-05
                      8,                 3.1839,                 4.6324,                 3.8165,                 1.1087,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4442,                 4.7111,                 4.1287,                 1.2522,              0.0001086,              0.0001086,              0.0001086
                      9,                 3.5421,                 4.7024,                 3.6733,                 1.1069,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  3.114,                 4.5815,                 4.0551,                 1.1236,              0.0001228,              0.0001228,              0.0001228
                     10,                 3.1578,                 4.1575,                 3.4603,                 1.0174,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.9476,                 4.4924,                 4.0033,                 1.0349,             0.00013666,             0.00013666,             0.00013666
                     11,                 3.1976,                 4.1528,                 3.2633,                 1.0161,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.7798,                 4.3482,                 3.9618,                0.96807,              0.0001502,              0.0001502,              0.0001502
                     12,                 3.0497,                 3.8445,                 3.0088,                0.99997,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  2.765,                 4.1833,                  3.909,                 0.9448,              0.0001634,              0.0001634,              0.0001634
                     13,                 3.0166,                  4.189,                 2.7552,                0.98793,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.8415,                 4.1375,                 3.8028,                0.94414,             0.00017628,             0.00017628,             0.00017628
                     14,                 3.1662,                 4.4063,                 2.4849,                 1.0054,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.8691,                 4.2602,                 3.7529,                0.94265,             0.00018882,             0.00018882,             0.00018882
